id,left,right,operator,disposition,registry_relation,registry_decision,reason,source_ids,evidence_level
REL001,d8-native-root,d8-position,ne,preserve_distinct_views,faithful_descent,link_views_keep_domains,The manuscript supplies the rooted descent. Different ambient groups and selected roots remain part of each view.,COVER;MM,inherited_registry_statement_not_independently_reproved
REL002,d8-cover-root,d8-position,ne,preserve_distinct_views,faithful_descent,link_views_keep_domains,"The source reports an injective and onto rooted-stabilizer map, not identity of upstairs and downstairs points.",COVER;CENSUS_REPORT,inherited_registry_statement_not_independently_reproved
REL003,g-family-6,g60-native,eq,source_supported_alias,source_identified_graph,consolidate_entity_keep_census_view,Child G6 is source-identified with native G60. Preserve the explicit vertex-label crosswalk and the census view.,COVER,inherited_registry_statement_not_independently_reproved
REL004,k120-common-cover,g60-native,ne,preserve_distinct_views,canonical_double_cover,link_not_alias,The common cover has an extra sheet and a projection to the native graph; these are not aliases.,COVER,inherited_registry_statement_not_independently_reproved
REL005,q30-family,g30-original,ne,preserve_distinct_views,distinct_graphs,do_not_merge,The source explicitly identifies two different thirty-vertex line graphs.,COVER,inherited_registry_statement_not_independently_reproved
REL006,g1800-family,g900-associated,ne,preserve_distinct_views,quotient,link_not_alias,"The midpoint involution has two-point fibers. G900 is the associated quotient, not another name for G1800.",FRAMES,inherited_registry_statement_not_independently_reproved
REL007,g9000-registered,g1800-family,ne,preserve_distinct_views,five_registered_frames,link_not_alias,Five registered frames and their transport maps are additional structure over a local G1800 carrier.,FRAMES,inherited_registry_statement_not_independently_reproved
REL008,d5-face-kernel,face-stabilizer,ne,preserve_distinct_views,kernel_embedding,link_not_alias,The order-ten kernel is embedded in the order-eighty face stabilizer.,D5_KERNEL,inherited_registry_statement_not_independently_reproved
REL009,face-stabilizer,d8-face-blocks,ne,preserve_distinct_views,permutation_image,link_not_alias,The order-eighty stabilizer and order-eight image differ by the order-ten realization kernel.,FACE,inherited_registry_statement_not_independently_reproved
REL013,d8-surface-edges,d8-lifted-holonomy,ne,preserve_distinct_views,distinct_extension_levels,do_not_merge,"Before lifting, D8 contains edge values and V4 is the loop group. The lifted loop D8 is an upstairs object.",SURFACE,inherited_registry_statement_not_independently_reproved
REL014,d8-lifted-holonomy,d8-native-root,ne,preserve_distinct_views,extension_type_compatibility,same_type_not_elementwise_identity,The surface source limits the comparator match to extension type and retains nonuniqueness of the lift.,SURFACE;MM,inherited_registry_statement_not_independently_reproved
REL015,q8-lifted-holonomy,d8-lifted-holonomy,ne,preserve_distinct_views,nonisomorphic_alternatives,do_not_merge,The element-order profiles differ; the quaternionic branch has only one involution.,SURFACE,inherited_registry_statement_not_independently_reproved
REL016,d8-history-factor,history-coset-image,ne,preserve_distinct_views,factor_vs_action_image,link_keep_embedding,One is the embedded dihedral factor; the other is the faithful permutation image of Gamma on four cosets.,HISTORY_PHASE,inherited_registry_statement_not_independently_reproved
REL017,v4-native,v4-fp-kernel,ne,preserve_distinct_views,explicit_model_isomorphism,link_views_keep_coordinates,The full source isomorphism aligns the model kernel with native data; the group order alone would not.,FP,inherited_registry_statement_not_independently_reproved
REL020,c2-root-center,c2-native-double-deck,ne,preserve_distinct_views,distinct_native_permutations,do_not_merge,The relevant nonidentity native permutations fix four versus zero vertices.,MM,inherited_registry_statement_not_independently_reproved
REL021,c2-history-extra,c2-history-kernel,ne,preserve_distinct_views,distinct_embedded_subgroups,do_not_merge,The source explicitly distinguishes <z> and <r^2 z> inside the phase group.,HISTORY_PHASE,inherited_registry_statement_not_independently_reproved
REL022,c2-axis-central,c2-analyzer-sector,ne,preserve_distinct_views,central_sign_vs_sector_character,do_not_merge,The central sign and sector character belong to different order-120 groups with different centers.,SIGNED_AXIS,inherited_registry_statement_not_independently_reproved
REL023,c2-threefold-deck,d8-native-root,ne,preserve_distinct_views,nonisomorphic_group_types,do_not_merge,The elementary-abelian deck has no element of order four; D8 does.,COVER,inherited_registry_statement_not_independently_reproved
REL024,s3-abstract-klein,c2-register-parity,ne,preserve_distinct_views,full_abstract_vs_native_image,do_not_merge,"Native conjugation realizes only C2, not the full abstract Aut(V4)=S3.",ANALYZER;CORE,inherited_registry_statement_not_independently_reproved
REL025,s3-mode,c3-mode,ne,preserve_distinct_views,generated_subgroup,link_not_alias,The phase generator generates the order-three subgroup of the specified six-element event action.,MODE,inherited_registry_statement_not_independently_reproved
REL026,s5-native-quotient,s5-six-axes,ne,preserve_distinct_views,same_group_different_representation,link_views_keep_domains,The six-axis action is a representation of the same quotient group on a different domain.,CONF_ACTION,inherited_registry_statement_not_independently_reproved
REL027,signed-axis-extension,s5-analyzer-sectors,ne,preserve_distinct_views,nonisomorphic_groups_of_equal_order,do_not_merge,"The within-sector extension has a central global sign, while the sector S5 has trivial center.",SIGNED_AXIS,inherited_registry_statement_not_independently_reproved
REL029,x12-kernel,twelve-pair-descriptors,ne,preserve_distinct_views,points_vs_pair_partition,do_not_merge,"Twelve points are not twelve bins, each containing eight ordered pairs.",KERNEL,inherited_registry_statement_not_independently_reproved
REL030,twelve-face-phases,history-pentagon-space,ne,preserve_distinct_views,finite_set_vs_vector_space,do_not_merge,Twelve face-phase objects are not vectors in a twelve-dimensional pentagon coefficient space.,CONNECTION;HIST,inherited_registry_statement_not_independently_reproved
REL033,frame-difference,frame-hermitian-current,ne,preserve_distinct_views,scalar_complexification_relation,link_not_alias,"H5=iD5: one is real skew-symmetric, the other Hermitian after complexification.",CHAT,inherited_registry_statement_not_independently_reproved
REL034,frame-multiplier,frame-sector-exchange,ne,preserve_distinct_views,piecewise_operator_construction,link_not_alias,Z5 uses U2 and its inverse on opposite sectors; it is not the raw coordinate multiplier.,CHAT,inherited_registry_statement_not_independently_reproved
REL035,frame-multiplier,u2-face-envelope,ne,preserve_distinct_views,permutation_vs_continuous_group,do_not_merge,The coordinate permutation U_2 and continuous group U(2) have different types and domains.,CHAT;U2,inherited_registry_statement_not_independently_reproved
REL036,s1-residual-reflection,circle-space,ne,preserve_distinct_views,operator_vs_circle,do_not_merge,The reflection operator S_1 and circle S^1 are not variants of a single name.,RESIDUAL;U2,inherited_registry_statement_not_independently_reproved
REL037,s1-residual-reflection,r1-native-residual,ne,preserve_distinct_views,fiber_actor_vs_base_bundle_action,do_not_merge,The source explicitly says the native residual r1 is not the vertical S1 operator.,BUNDLE,inherited_registry_statement_not_independently_reproved
REL038,r1-native-residual,r1-history-class,ne,preserve_distinct_views,permutation_vs_homology_class,do_not_merge,A permutation and a primitive homology class cannot be identified from a shared r1 spelling.,BUNDLE;CORE,inherited_registry_statement_not_independently_reproved
REL039,frame-sector-exchange,residue-spaces,ne,preserve_distinct_views,operator_vs_residue_group,do_not_merge,The frame Z5 operator is not the integer residue group modulo five.,CHAT;KERNEL,inherited_registry_statement_not_independently_reproved
REL040,cochain-coboundaries,face-disagreement,ne,preserve_distinct_views,linear_map_vs_scalar_functional,do_not_merge,A degree-two incidence map and a quadratic scalar functional have different domains and codomains.,MAXWELL;FACE,inherited_registry_statement_not_independently_reproved
REL041,history-incidence,history-gram,ne,preserve_distinct_views,gram_construction,link_not_alias,"Taking a Gram matrix changes the size, domain and meaning of the incidence map.",HIST,inherited_registry_statement_not_independently_reproved
