id,qualified_name,source_labels,kind,domain,group_order,point_count,real_dimension,complex_dimension,rank,carrier_real_dimension,standing,definition,formula_or_action,boundary,source_ids
d8-native-root,Native G60 rooted-neighborhood stabilizer,"[""D8"", ""D_8"", ""D8_frame""]",finite subgroup family,"Aut(G60), with a selected vertex x and its neighbor set",8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The automorphisms fixing the selected native vertex, with the faithful action on its four neighbors. The comparator audit places the odd-comparator square in the center of this rooted group. A root is part of the object.","Stab_Aut(G60)(x); |Stab|=8; r^4=s^2=1, srs=r^-1","Not the global fiber-product D8 factor, the free eight-point deck group, or the face-operator D8.","[""MM"", ""COVER""]"
d8-position,Petersen-edge positional stabilizer,"[""D8"", ""D_8"", ""D8_pos""]",finite subgroup family,S5 acting on the fifteen unordered Petersen edges / G15 vertices,8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The subgroup preserving one unordered pair of disjoint two-subsets. It permits the two internal swaps and interchange of the pair. The quotient notation here is a coset space, not a quotient group.",V(G15) ~= S5 / D8_pos,Keep the positional action distinct from the upstairs native action even though the specified descent identifies rooted stabilizers.,"[""COVER""]"
d8-cover-root,Common-cover rooted stabilizer,"[""D8"", ""D_8"", ""D8_frame""]",finite subgroup family,"Aut(K120), at one selected cover vertex",8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The order-eight stabilizer upstairs in the common census cover. The manuscript reports faithful descent to the corresponding G15 rooted stabilizer, and treats the associated rooted cover/G60/G15 actions together.",Stab_Aut(K120)(x_tilde) -> Stab_Aut(G15)(q(x_tilde)),"This is an action-linked view of the rooted family, not the composite C2^3 deck action.","[""COVER"", ""CENSUS_REPORT""]"
d8-fiber-product,Global fiber-product dihedral coordinate factor,"[""D8"", ""D_8"", ""d8""]",abstract presentation factor,S5 x D8 subject to parity compatibility,8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The dihedral factor used to present all 480 native automorphisms. Its coordinates are a rotation r mod 4 and a flip f mod 2; its character r mod 2 is matched with the S5 sign. This is a factor in a model, not by itself a chosen subgroup of native permutations.","(r,f)(u,g)=(r+(-1)^f u mod4,f+g mod2); parity(sigma)=r mod2",Do not identify the D8 projection of the full group with a root stabilizer or its specific center without an explicit map.,"[""FP""]"
d8-history-factor,Registered phase-group dihedral factor,"[""D8"", ""D_8"", ""D8_hist""]",embedded subgroup / direct factor,"Gamma_hist=<r,s,z> inside the supplied Aut(G60) cache",8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The factor generated by the declared r and s in the sixteen-element history-phase group. A central extra z supplies the additional C2. The source gives actual cache indices, but those numbers are not universal names.","<r,s>; r=cache[3], s=cache[325], z=cache[324]; Gamma_hist ~= D8 x C2","This is not the twelve-pentagon coefficient representation or the original history alphabet {2,3}. The exact chosen generators, not just the abstract D8 label, identify the factor.","[""HISTORY_PHASE""]"
history-coset-image,Four-phase coset permutation image,"[""D8"", ""D8_hist_image""]",finite permutation image,Gamma_hist acting on X=Gamma_hist/H0,8,4,,,,,"Source-recorded four-coset action; the D8 type follows from its displayed presentation and kernel, not a newly run native census.","The faithful image of the history-phase action after its constant kernel is removed. Keep this image separate from the embedded <r,s> factor even where an isomorphism is available. The source explicitly records its four cosets and kernel.",Gamma_hist -> Perm(X); kernel K=<a>; |Gamma_hist/K|=8,"The order-eight image and the full sixteen-element actor group are not interchangeable. The D8 classification is read in the supplied four-phase action, not a new independent audit.","[""HISTORY_PHASE"", ""NATIVE_REPORT""]"
d8-face-blocks,Four-signed-block face permutation group,"[""D8"", ""D_8"", ""local_D8""]",finite permutation image family,Four signed blocks in a selected native face family,8,4,,,,,Source-recorded; original producer not re-executed in this sweep.,"The image of the order-eighty face stabilizer on its four signed blocks. Its order is eight, while the action kernel has order ten. This is the local block permutation group, not the entire face stabilizer.",Stab(f) -> Perm(B_f); image ~= D8; kernel=D5_f,Do not substitute the order-eight image for the order-ten kernel or the order-eighty ambient stabilizer.,"[""FACE"", ""D5_KERNEL"", ""FACE_SCOPE""]"
d8-selected-face-operators,Selected face complex/reflection operator group,"[""D8"", ""D_8""]",finite operator group,Native complex face fiber with J_F and the connection residual S1,8,,4,2,,,Source-recorded; original producer not re-executed in this sweep.,"The source explicitly calls <J_F,S1> the selected face operator D8. J_F supplies the complex quarter-turn and S1 is the residual anti-complex involution. The selected transport itself is not S1.","<J_F,S1>; J_F^2=-I, S1^2=I, S1 J_F S1=-J_F","No Aut(G60)-to-Pin, charge-center identity, physical gauge identification, or equivalence to the block-permutation action is supplied.","[""RESIDUAL"", ""REFLECTION""]"
d8-charge-center-locator,Charge-center dihedral comparison target,"[""D8"", ""D8_charge_center""]",source-locator-only group view,Charge-center construction referenced by the selected-face audit,,,,,,,Referenced comparison target only; insufficient data for an action identification.,"The source names a charge-center D8=<r,s> as the next comparison target. The defining charge-center action is not supplied by the retrieved packet. This entry prevents that target from being silently merged with the selected face group.","Named target: charge-center D8=<r,s>","Full domain, generator realization, kernel and comparison remain unresolved in this corpus.","[""RESIDUAL""]"
d8-section-square,Closure-section square-factor symmetry,"[""D8"", ""D_8""]",finite action factor,Four-state coordinate X4 in X12_sections ~= X3 x X4,8,4,,,,,Source-recorded; original producer not re-executed in this sweep.,"The specified square symmetry acting on the four-state section coordinate. It is one factor of the source-given H ~= S3 x D8 action on twelve sections, not automatically the full symmetry of a graph on twelve vertices.","(sigma,d)(s,q)=(sigma s,dq)","No equality with a rooted stabilizer, selected face-operator group, or phase-history factor is established by the 3 x 4 count.","[""OLDER_SECTION_SURFACE""]"
d8-surface-edges,Surface reference edge-transport group,"[""D8"", ""D_8""]",finite matrix transport group,Local primitive winding reference planes on the genus-21 surface,8,,2,,,,Source-recorded; original producer not re-executed in this sweep.,The square rotation/reflection group containing the edge transports of the surface reference connection. Its loop holonomy is only a V4 subgroup before lifting. Edge-value group and loop group are different views.,"D8=<J,S | J^4=S^2=1, SJS=J^-1>",Do not call every transport value an attained loop holonomy; unlifted loops do not supply an order-four return.,"[""SURFACE""]"
d8-lifted-holonomy,Dihedral lifted surface loop holonomy,"[""D8"", ""D_8"", ""Hol_plus""]",finite holonomy group,Reflection-square +1 central lift of the surface connection,8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The attained loop group in the plus lift, of order eight with profile 1:1,2:5,4:2. It is a lift of the unlifted V4 loop group, not the unlifted D8 edge-value group under another name.",q_tilde^2=z; Hol_plus ~= D8,"The comparator selects the extension type, not a particular one of the 2^42 gauge-inequivalent lifts or an elementwise native identification.","[""SURFACE""]"
q8-lifted-holonomy,Quaternionic alternative surface loop holonomy,"[""Q8"", ""Q_8"", ""Hol_minus""]",finite holonomy group,Reflection-square-central alternative lift,8,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The other tested lift has loop group Q8, with profile 1:1,2:1,4:6. This is not another spelling of the dihedral branch and cannot represent its multiple reflection involutions.",Hol_minus ~= Q8,"Retain as an alternative construction excluded from a direct comparator-type match, not as a failed existence construction.","[""SURFACE""]"
surface-extension-plus,Reflection-involutory ambient double-cover extension,"[""D16_candidate"", ""central_cover_plus""]",group presentation,Ambient cover of the surface D8 edge-transport group,,,,,,,Source-given presentation; D16 is not asserted as the source label.,"The source specifies this group by generators and relations. Its attained loop subgroup is separately D8. The proposed name describes the presentation; a D16 spelling is only a search aid, not imported source terminology.","R^8=1, S^2=1, SRS=R^-1; projection kernel={1,R^4}",Do not confuse the ambient extension with its order-eight attained holonomy. No source-selected lift is unique.,"[""SURFACE""]"
surface-extension-minus,Reflection-square-central ambient double-cover extension,"[""Q16_candidate"", ""central_cover_minus""]",group presentation,Alternative ambient cover of surface edge transports,,,,,,,Source-given presentation; Q16 is not asserted as the source label.,The reflection squares to the central kernel element. The source tests this presentation separately; its attained holonomy is Q8. A Q16 lookup is editorial only.,"R^8=1, S^2=R^4, SRS=R^-1; kernel={1,R^4}",Do not collapse it with the involutory-reflection extension or either loop subgroup.,"[""SURFACE""]"
d5-history,Historical fivefold rotation-reflection register,"[""D5"", ""D_5""]",finite group presentation on a historical register,The historical fivefold object described in the integrated draft,10,,,,,,Source-recorded; original producer not re-executed in this sweep.,Two involutions generate a rotation of order five. Its role is fivefold history and harmonic structure. Here a and b are noncommuting reflection generators and must not be read as the commuting native deck involutions.,a^2=b^2=1; s=ab; s^5=1; ba=s^-1,"Order-ten historical D5 is not rooted order-eight D8, nor automatically the face realization kernel.","[""HISTORICAL_FIVEFOLD""]"
d5-face-kernel,Native face realization kernel,"[""D5"", ""D_5"", ""D5_f""]",kernel subgroup family,Order-eighty stabilizer of a selected four-block native face,10,,,,,,Source-recorded; original producer not re-executed in this sweep.,The automorphisms fixing every signed block of that face. Its order is ten and it is generated by a fivefold rotation and an inverting involution. The source makes this kernel family natural under face transport.,D5_f=ker(Stab(f)->Perm(B_f)); g D5_f g^-1=D5_(gf),"Not the four-block D8 image. The order-four kernel tested in failed Audit018C is a different layer, not this kernel.","[""D5_KERNEL"", ""FACE_SCOPE""]"
face-kernel-wrong-layer,Earlier order-four face action-kernel candidate,"[""D5_candidate"", ""Audit018C_kernel""]",rejected-identification view,The distinct action layer tested in Audit018C,4,,,,,,Source-recorded rejected identification; exact earlier action not fully recovered.,The archive says an order-four kernel was tested against the intended order-ten realization gauge and failed. Preserve the actual layer as an unresolved source-specific kernel rather than changing its label to D5.,Order reported: 4; intended D5 target order:10,Original failed test remains failed; do not infer a V4 or C4 group law merely from order four.,"[""FACE_SCOPE""]"
d10-decagon,Registered decagon setwise stabilizer,"[""D10"", ""D_10""]",finite subgroup family,Aut(G60) acting on one of the 24 registered ten-cycles,20,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The source uses D10 for the full dihedral symmetry of a ten-cycle, explicitly order twenty. It acts faithfully on the ten cycle vertices and has trivial pointwise stabilizer.",Stab(C) ~= D10; ten rotations plus ten reflections,"D10 uses rotation-count notation here, while D8 elsewhere uses total-order notation. Always state order twenty.","[""DECAGON_STABILIZERS""]"
answering-pair-stabilizer,Lifted-decagon answering-pair stabilizer,"[""D10 x C2"", ""D_10 x C_2""]",finite subgroup family,Two lifted registered decagons above one quotient pentagon,40,,,,,,Source-recorded; original producer not re-executed in this sweep.,The order-forty setwise stabilizer includes the decagon symmetry and a commuting involution exchanging the two cycles. This C2 has an actual pair-exchange domain.,Stab(P_C) ~= D10 x C2,"Not Gamma_hist ~= D8 x C2; their orders, domains and generators differ.","[""DECAGON_STABILIZERS""]"
v4-native,Native free normal Klein deck register,"[""V4"", ""V_4"", ""V4_nat""]",embedded finite group,The 60-vertex native carrier,4,,,,,,Source-recorded; original producer not re-executed in this sweep.,"The native free normal action {1,a,b,ab} whose orbits are fifteen four-state chambers. Its three nonidentity elements are involutions. Native conjugation fixes a and exchanges b with ab through an index-two character.","a^2=b^2=1; ab=ba; V4={1,a,b,ab}","Not every group of four, not the noncommuting D5 reflections, and not a cyclic quarter-turn group.","[""ANALYZER"", ""CORE"", ""FP""]"
